x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.8367346938775511,0.46938775510204084,-0.027754462077098814,-0.032758459485418626,0.01,18.03
-0.8367346938775511,0.5102040816326531,0.06466825264171024,0.06760788446990622,0.0,4.55
-0.7959183673469388,-0.5918367346938775,0.31164943384606747,0.3321575194009306,0.02,6.58
-0.7959183673469388,-0.5510204081632653,0.20814742202268324,0.2207753572066067,0.01,6.07
-0.7959183673469388,-0.5102040816326531,0.11134070642992219,0.11734906374044864,0.01,5.4
-0.7959183673469388,-0.46938775510204084,0.022206277265438532,0.02187863900245592,0.0,1.48
-0.7959183673469388,-0.42857142857142855,-0.06398431913886396,-0.0656359170073691,0.0,2.58
-0.7959183673469388,-0.3877551020408163,-0.13924903506252181,-0.14519460428902825,0.01,4.27
-0.7959183673469388,-0.3469387755102041,-0.20336676918623406,-0.21679742284252349,0.01,6.6
-0.7959183673469388,-0.30612244897959184,-0.267341409778278,-0.28044437266785094,0.01,4.9
-0.7959183673469388,-0.2653061224489796,-0.31833056160333534,-0.3361354537650128,0.02,5.59
-0.7959183673469388,-0.22448979591836735,-0.36441335414716425,-0.3838706661340091,0.02,5.34
-0.7959183673469388,-0.1836734693877551,-0.40218021823627215,-0.4236500097748384,0.02,5.34
-0.7959183673469388,-0.14285714285714285,-0.43461500394444946,-0.45547348468750265,0.02,4.8
-0.7959183673469388,-0.10204081632653061,-0.4555503331701224,-0.4793410908720003,0.02,5.22
-0.7959183673469388,-0.061224489795918366,-0.4686401504951057,-0.4952528283283326,0.03,5.68
-0.7959183673469388,-0.02040816326530612,-0.47886515430867593,-0.5032086970564985,0.02,5.08
-0.7959183673469388,0.02040816326530612,-0.4753922335796769,-0.5032086970564985,0.03,5.85
-0.7959183673469388,0.061224489795918366,-0.46954272327626534,-0.4952528283283326,0.03,5.48
-0.7959183673469388,0.10204081632653061,-0.45254361119244624,-0.4793410908720003,0.03,5.92
-0.7959183673469388,0.14285714285714285,-0.43029959620665037,-0.45547348468750265,0.03,5.85
-0.7959183673469388,0.1836734693877551,-0.4013197598840999,-0.4236500097748384,0.02,5.56
-0.7959183673469388,0.22448979591836735,-0.36315114324898723,-0.3838706661340091,0.02,5.71
-0.7959183673469388,0.2653061224489796,-0.3201288846575901,-0.3361354537650128,0.02,5.0
-0.7959183673469388,0.30612244897959184,-0.26506035418938617,-0.28044437266785094,0.02,5.8
-0.7959183673469388,0.3469387755102041,-0.20340702806970673,-0.21679742284252349,0.01,6.58
-0.7959183673469388,0.3877551020408163,-0.13840399195060918,-0.14519460428902825,0.01,4.91
-0.7959183673469388,0.42857142857142855,-0.060945582847835966,-0.0656359170073691,0.0,7.7
-0.7959183673469388,0.46938775510204084,0.016461775613251926,0.02187863900245592,0.01,32.91
-0.7959183673469388,0.5102040816326531,0.11160488719868092,0.11734906374044864,0.01,5.15
-0.7959183673469388,0.5510204081632653,0.20828728664424978,0.2207753572066067,0.01,6.0
-0.7959183673469388,0.5918367346938775,0.30982956770611975,0.3321575194009306,0.02,7.21
-0.7551020408163265,-0.6326530612244898,0.4492874926783017,0.47614514360513,0.03,5.98
-0.7551020408163265,-0.5918367346938775,0.3421296044743453,0.36292701170430747,0.02,6.08
-0.7551020408163265,-0.5510204081632653,0.24127794791553492,0.25725675526353775,0.02,6.62
-0.7551020408163265,-0.5102040816326531,0.15103061828356548,0.15913437428282443,0.01,5.37
-0.7551020408163265,-0.46938775510204084,0.06686487239833479,0.06855986876216556,0.0,2.53
-0.7551020408163265,-0.42857142857142855,-0.016221044345892808,-0.014466761298438685,0.0,10.81
-0.7551020408163265,-0.3877551020408163,-0.0889320563380119,-0.0899455158989878,0.0,1.14
-0.7551020408163265,-0.3469387755102041,-0.14971363462018336,-0.15787639503948134,0.01,5.45
-0.7551020408163265,-0.30612244897959184,-0.20411425631212682,-0.21825939871992042,0.01,6.93
-0.7551020408163265,-0.2653061224489796,-0.25562525609072073,-0.2710945269403054,0.02,6.05
-0.7551020408163265,-0.22448979591836735,-0.30057389163328585,-0.31638177970063514,0.02,5.26
-0.7551020408163265,-0.1836734693877551,-0.33564019368397513,-0.3541211570009091,0.02,5.51
-0.7551020408163265,-0.14285714285714285,-0.3652186122922669,-0.38431265884112886,0.02,5.23
-0.7551020408163265,-0.10204081632653061,-0.38516693218418463,-0.4069562852212937,0.02,5.66
-0.7551020408163265,-0.061224489795918366,-0.3992657939777554,-0.4220520361414035,0.02,5.71
-0.7551020408163265,-0.02040816326530612,-0.40441023416710714,-0.42959991160145855,0.03,6.23
-0.7551020408163265,0.02040816326530612,-0.4106356442459719,-0.42959991160145855,0.02,4.62
-0.7551020408163265,0.061224489795918366,-0.3990299100195229,-0.4220520361414035,0.02,5.77
-0.7551020408163265,0.10204081632653061,-0.38530106456558155,-0.4069562852212937,0.02,5.62
-0.7551020408163265,0.14285714285714285,-0.364950572275632,-0.38431265884112886,0.02,5.31
-0.7551020408163265,0.1836734693877551,-0.3351163447926512,-0.3541211570009091,0.02,5.67
-0.7551020408163265,0.22448979591836735,-0.30119888236811176,-0.31638177970063514,0.02,5.04
-0.7551020408163265,0.2653061224489796,-0.25472241692164543,-0.2710945269403054,0.02,6.43
-0.7551020408163265,0.30612244897959184,-0.20203068202650973,-0.21825939871992042,0.02,8.03
-0.7551020408163265,0.3469387755102041,-0.15024303448116397,-0.15787639503948134,0.01,5.08
-0.7551020408163265,0.3877551020408163,-0.08395958093537123,-0.0899455158989878,0.01,7.13
-0.7551020408163265,0.42857142857142855,-0.015254970999442707,-0.014466761298438685,0.0,5.17
-0.7551020408163265,0.46938775510204084,0.06482464882243608,0.06855986876216556,0.0,5.76
-0.7551020408163265,0.5102040816326531,0.1516305647945393,0.15913437428282443,0.01,4.95
-0.7551020408163265,0.5510204081632653,0.24529013120133944,0.25725675526353775,0.01,4.88
-0.7551020408163265,0.5918367346938775,0.34299685326815166,0.36292701170430747,0.02,5.81
-0.7551020408163265,0.6326530612244898,0.4495651564234874,0.47614514360513,0.03,5.91
